player,Y1S2 Cap %,yrs_Y1S2,total_Y1S2,S1Y2 Cap %,yrs_S1Y2,total_S1Y2
Brandon Ingram,0.25483240813699404,4,126.31,0.24656628290231067,4,122.21
Danilo Gallinari,0.21731877063192023,3,78.79,0.21490181064583247,3,77.91
Fred VanVleet,0.19612142990965922,4,97.21,0.18884550919869839,4,93.6
Montrezl Harrell,0.19201498996121713,3,69.61,0.17822629948113777,4,88.34
Hassan Whiteside,0.19415210994661186,3,70.39,0.17232909351519785,3,62.48
Marcus Morris,0.16757226235121195,3,60.75,0.15875751858216222,3,57.56
Joe Harris,0.1539417296743553,3,55.81,0.15868930020184505,3,57.53
Serge Ibaka,0.15362846420508147,3,55.7,0.1416514857101574,3,51.35
Bogdan Bogdanović,0.12844544348647044,3,46.57,0.12162678613794825,3,44.09
Jordan Clarkson,0.13571673347307928,3,49.2,0.10624621453934656,3,38.52
Dāvis Bertāns,0.1170676039107297,3,42.44,0.10802890042841065,3,39.16
Goran Dragić,0.10307879635000244,2,24.3,0.11049183331054954,2,26.05
Dario Šarić,0.10454366564020987,3,37.9,0.10213540688703131,3,37.03
Christian Wood,0.11210536055343832,3,40.64,0.09258556950114745,3,33.57
Derrick Favors,0.0981608025663528,2,23.14,0.10643101709522251,3,38.59
Justin Holiday,0.10437352427184071,3,37.84,0.09911576180549922,3,35.93
Tristan Thompson,0.09175894956714638,2,21.63,0.10064124086229877,3,36.49
Jae Crowder,0.0885817014908129,2,20.88,0.09773470078713677,3,35.43
Malik Beasley,0.0946068111414331,3,34.3,0.08824530932339125,3,31.99
Alec Burks,0.08736162823492782,2,20.6,0.09402222422958857,2,22.17
Marc Gasol,0.08265446571409008,2,19.49,0.09685047012394254,2,22.83
Paul Millsap,0.08699283638665127,2,20.51,0.08891193618929782,2,20.96
Carmelo Anthony,0.08269976251902779,2,19.5,0.08945447198421286,2,21.09
Glenn Robinson III,0.07634808049133625,2,18,0.08060197127149137,2,19
Langston Galloway,0.07142132491233262,2,16.84,0.07457665301820968,2,17.58
Jakob Poeltl,0.06920709489139182,2,16.32,0.07621303438093337,2,17.97
Derrick Jones Jr.,0.0649660881545129,2,15.32,0.07895235994833502,2,18.61
Dwight Howard,0.06826539062745131,2,16.09,0.0713960579071918,2,16.83
D.J. Augustin,0.0730271247294779,2,17.22,0.06562315843847284,2,15.47
Maurice Harkless,0.06287047623028216,2,14.82,0.07448144282441538,2,17.56
Reggie Jackson,0.07576361776286604,2,17.86,0.061390644811721094,2,14.47
Bryn Forbes,0.0666883254902866,2,15.72,0.06930325993379757,2,16.34
Nerlens Noel,0.06429798648174491,2,15.16,0.0712208965978547,2,16.79
De'Anthony Melton,0.07594264439517767,3,27.53,0.05935042203298039,3,21.52
Brad Wanamaker,0.06554140868534422,3,23.76,0.0617423161832932,3,22.38
Pat Connaughton,0.05978301701232759,2,14.09,0.06208308331627579,2,14.64
Kris Dunn,0.05746967873765573,2,13.55,0.06348663209092659,2,14.97
Shabazz Napier,0.06019555449530663,2,14.19,0.05985205649195952,2,14.11
Chris Boucher,0.06267668883024118,3,22.72,0.056207152698466406,3,20.38
Furkan Korkmaz,0.058830405391723836,2,13.87,0.059015439702253335,2,13.91
Mason Plumlee,0.06185419622527466,2,14.58,0.05523708067811669,2,13.02
Rondae Hollis-Jefferson,0.0569203108875436,2,13.42,0.05628142861650278,2,13.27
Jordan McLaughlin,0.06627539973760369,3,24.03,0.046465031077075496,3,16.85
Kyle Korver,0.05823252389353166,2,13.73,0.04798427045143789,2,11.31
Thon Maker,0.0631092650254508,3,22.88,0.04067391396734189,2,9.59
Bismack Biyombo,0.056252451316026963,2,13.26,0.046025355400617196,2,10.85
Marvin Williams,0.053719750375769953,2,12.66,0.04445801577942775,2,10.48
Meyers Leonard,0.05072147377212597,2,11.96,0.047348125991168735,2,11.16
Damian Jones,0.05540137623981148,3,20.09,0.04070534780827709,2,9.6
Alex Len,0.05304426363331106,2,12.51,0.04087888791283651,1,4.7
Markieff Morris,0.04996527285050226,2,11.78,0.0353158752331362,1,4.06
Sterling Brown,0.04175807758674036,2,9.84,0.04010946197842585,2,9.46
Shaquille Harrison,0.0375508905045127,2,8.85,0.04402839386810919,3,15.96
Denzel Valentine,0.042234786262986886,2,9.96,0.038954825778805886,2,9.18
Jeff Teague,0.030149618240545774,1,3.47,0.046776381226252065,1,5.38
Damyean Dotson,0.03869144907130054,2,9.12,0.03555639914103918,2,8.38
Torrey Craig,0.034298925202719016,2,8.09,0.03932571478031456,2,9.27
Wesley Iwundu,0.03558893973123583,2,8.39,0.037801747773712625,2,8.91
Aron Baynes,0.028419722435789857,1,3.27,0.044265830125447714,2,10.44
Dion Waiters,0.036839744004776825,1,4.24,0.03436178302416783,1,3.95
Kent Bazemore,0.03036123161326942,1,3.49,0.03559253773129847,1,4.09
Skal Labissière,0.028588081243692016,2,6.74,0.034324674870534935,2,8.09
Michael Carter-Williams,0.024628603409141008,1,2.83,0.037714950248815035,1,4.34
E'Twaun Moore,0.025503329424648117,1,2.93,0.03648455968963744,1,4.2
Kenrich Williams,0.03673092241387342,2,8.66,0.024460701601198377,2,5.77
DeAndre' Bembry,0.03629559201946145,2,8.56,0.024783024908012413,2,5.84
Jevon Carter,0.029206345994641815,2,6.89,0.02834889953640205,2,6.68
John Henson,0.024688229078370944,1,2.84,0.029761058202160302,1,3.42
Jeff Green,0.024001498773961915,1,2.76,0.02979916040297255,1,3.43
Garrison Mathews,0.029479302414181046,2,6.95,0.02380330875444382,2,5.61
Josh Jackson,0.016539082298869218,1,1.9,0.03502665563626012,1,4.03
Ian Mahinmi,0.02195120075352244,1,2.52,0.028198863407022077,1,3.24
Patrick Patterson,0.024222063579857563,1,2.79,0.025576417398512276,1,2.94
J.J. Barea,0.028059414746690943,1,3.23,0.020453820312002196,1,2.35
Chris Chiozza,0.026426697840268853,2,6.23,0.020239609898088814,2,4.77
Jordan McRae,0.01881398556117453,1,2.16,0.025075914755714253,1,2.88
Harry Giles,0.016924260457023357,1,1.95,0.02680048408177582,2,6.32
Jahlil Okafor,0.019760015742767603,1,2.27,0.022644832320050115,1,2.6
Emmanuel Mudiay,0.018556843013165677,1,2.13,0.021227469436952938,1,2.44
Udonis Haslem,0.024898328234909076,1,2.86,0.014299987515219754,1,1.64
Wilson Chandler,0.021265128201005658,1,2.45,0.017072393099960403,1,1.96
Tyson Chandler,0.02434338185332063,1,2.8,0.01388724682225497,1,1.6
John Konchar,0.0225620239836386,2,5.32,0.01393162149379265,1,1.6
Solomon Hill,0.01778435398502947,1,2.05,0.017234197522869168,1,1.98
Yogi Ferrell,0.019563138526814638,1,2.25,0.013807853119806437,1,1.59
Courtney Lee,0.014385106519077644,1,1.65,0.015253338242721801,1,1.75
Juan Hernangómez,0.014045611665025643,1,1.62,0.013516060331243541,1,1.55
Marco Belinelli,0.022268456926348348,1,2.56,0,0,0
Vince Carter,0.021029505698170713,1,2.42,0,0,0
Gary Clark,0,0,0,0.019810957588670658,2,4.67
Brandon Knight,0.019529544872970848,1,2.25,0,0,0
Dwayne Bacon,0,0,0,0.01937578853683339,1,2.23
Kyle O'Quinn,0.019212450036866974,1,2.21,0,0,0
Thabo Sefolosha,0.018985958308708896,1,2.18,0,0,0
Willy Hernangómez,0.018862318435805887,1,2.17,0,0,0
Noah Vonleh,0.018004918556833574,1,2.07,0,0,0
Jared Dudley,0.017893412610146243,1,2.06,0,0,0
JaKarr Sampson,0.017533606633515827,1,2.02,0,0,0
Matthew Dellavedova,0.016999521361967654,1,1.95,0,0,0
Raul Neto,0.015245371492382923,1,1.75,0,0,0
Frank Jackson,0,0,0,0.01472935772193367,1,1.69
Kelan Martin,0,0,0,0.014314139000737358,2,3.37
DeMarre Carroll,0.013590779982218266,1,1.56,0,0,0
Bruno Caboclo,0.013460089817780938,1,1.55,0,0,0
Evan Turner,0,0,0,0,0,0
Michael Kidd-Gilchrist,0,0,0,0,0,0
Gary Payton II,0,0,0,0,0,0
Treveon Graham,0,0,0,0,0,0
Ante Žižić,0,0,0,0,0,0
Antonius Cleveland,0,0,0,0,0,0
Caleb Swanigan,0,0,0,0,0,0
Frank Mason III,0,0,0,0,0,0
Johnathan Motley,0,0,0,0,0,0
Josh Gray,0,0,0,0,0,0
Malcolm Miller,0,0,0,0,0,0
Naz Mitrou-Long,0,0,0,0,0,0
Alize Johnson,0,0,0,0,0,0
B.J. Johnson,0,0,0,0,0,0
Drew Eubanks,0,0,0,0,0,0
Kostas Antetokounmpo,0,0,0,0,0,0
Yuta Watanabe,0,0,0,0,0,0
Adam Mokoka,0,0,0,0,0,0
Brian Bowen,0,0,0,0,0,0
Charlie Brown,0,0,0,0,0,0
DaQuan Jeffries,0,0,0,0,0,0
Dean Wade,0,0,0,0,0,0
Dewan Hernandez,0,0,0,0,0,0
Gabe Vincent,0,0,0,0,0,0
Jared Harper,0,0,0,0,0,0
Jarrell Brantley,0,0,0,0,0,0
Jaylen Hoard,0,0,0,0,0,0
Jeremiah Martin,0,0,0,0,0,0
Jordan Bone,0,0,0,0,0,0
Josh Reaves,0,0,0,0,0,0
Justin Wright-Foreman,0,0,0,0,0,0
Juwan Morgan,0,0,0,0,0,0
Kevin Hervey,0,0,0,0,0,0
Louis King,0,0,0,0,0,0
Matt Mooney,0,0,0,0,0,0
Max Strus,0,0,0,0,0,0
Michael Frazier,0,0,0,0,0,0
Moses Brown,0,0,0,0,0,0
Oshae Brissett,0,0,0,0,0,0
Paul Watson,0,0,0,0,0,0
Quinndary Weatherspoon,0,0,0,0,0,0
Rayjon Tucker,0,0,0,0,0,0
Tacko Fall,0,0,0,0,0,0
Tariq Owens,0,0,0,0,0,0
Tremont Waters,0,0,0,0,0,0
Wenyen Gabriel,0,0,0,0,0,0
William Howard,0,0,0,0,0,0
Zylan Cheatham,0,0,0,0,0,0
