player,Y1S2 Cap %,yrs_Y1S2,total_Y1S2,S1Y2 Cap %,yrs_S1Y2,total_S1Y2,2021 Option
Gordon Hayward,0.17889889211428675,3,64.86,0.1812429742562624,3,65.71,34.19
Andre Drummond,0.2221571422773311,3,80.54,0.20009801772011587,4,99.18,28.75
Anthony Davis,0.30148119777471055,5,191.58,0.2868035624788399,3,103.98,28.75
Otto Porter,0.08297334043310511,2,19.56,0.07925015244561763,2,18.68,28.49
DeMar DeRozan,0.2781873550538833,3,100.85,0.2657556942516101,3,96.35,27.74
Nicolas Batum,0.01857416548886984,1,2.14,0.026045078447550628,1,3,27.13
Tim Hardaway Jr.,0.155128401193678,3,56.24,0.15191319613310966,3,55.07,18.98
Evan Fournier,0.21395120396656037,4,106.05,0.1969257167359708,4,97.61,17
James Johnson,0.024244486690564764,1,2.79,0.03168259373196556,1,3.64,15.83
Kelly Olynyk,0.10769679748527684,3,39.04,0.08677769489492237,2,20.46,12.2
Tony Snell,0.06940575219491285,2,16.36,0.07666594909217728,2,18.07,12.18
Jerami Grant,0.13212226104003097,3,47.9,0.11392934277937526,3,41.3,9.35
Kentavious Caldwell-Pope,0.11734502330816785,3,42.54,0.10372407714124948,3,37.6,8.49
Jabari Parker,0.0696616170471727,2,16.42,0.0626748248716953,2,14.78,6.5
Rodney Hood,0.06344348720504504,2,14.96,0.07104883539310791,2,16.75,6
Robin Lopez,0.024029099703720237,1,2.76,0.02258929760345165,1,2.6,5.01
Avery Bradley,0.0526228831784743,2,12.41,0.043309936259461446,2,10.21,5.01
Enes Kanter,0.06236805334718626,2,14.7,0.059197955544040164,2,13.96,5.01
JaMychal Green,0.049462682496767184,2,11.66,0.043816600250441984,2,10.33,5.01
JaVale McGee,0.07512637879967853,2,17.71,0.07152804885251018,2,16.86,4.2
Stanley Johnson,0.016586951226681693,1,1.91,0,0,0,3.8
Wesley Matthews,0.06730105451790995,2,15.87,0.06803553865765707,2,16.04,2.69
Rajon Rondo,0.02831507163402471,1,3.26,0.030145487141665935,1,3.47,2.62
Austin Rivers,0.05317370993806612,2,12.54,0.04739894109563031,2,11.17,2.37
Willie Cauley-Stein,0.0742538434855359,2,17.51,0.07732347050054014,2,18.23,2.29
Mike Muscala,0.019840843654809818,1,2.28,0.01387750546301106,1,1.6,2.28
James Ennis,0.04414836546765471,2,10.41,0.033218157400052586,2,7.83,2.13
Mario Hezonja,0.015330584004124261,1,1.76,0.0144861387289685,1,1.67,1.92
